Магазин;Координаты;Дата и время;Товар;Производитель;Номер карты;Количество;Цена
Магнит;59.91953, 30.295508;2024-10-08T18:37;сметана;Савушкин продукт;2200 5653 6030 7248;7;441
Эльдорадо;60.08961, 30.381524;2024-05-23T11:46;фотоаппарат;nikon;2202 2017 9665 4244;4;222204
М.Видео;59.81842, 30.316717;2024-07-13T19:55;наушники беспроводные;samsung;5211 9453 7888 2365;3;23841
О'Кей;59.843892, 30.179765;2024-12-11T18:31;шоколад;Mars;2200 5679 7023 7763;3;300
ВкусВилл;59.959616, 30.316999;2024-09-11T13:58;шоколад;Марс;2200 5622 4892 9333;3;720
Ашан Сити;59.899965, 30.400781;2024-12-05T17:49;соки;PepsiCo;4306 4322 7750 5755;6;786
Street Beat;60.090625, 30.380989;2024-01-25T16:45;кроссовки;hummel;2200 5695 7532 5232;1;4102
М.Видео;60.002106, 30.272001;2024-09-07T16:50;гарнитура;razer;4306 4312 8672 7159;7;52584
Технопарк Боровая;59.912663, 30.34005;2024-03-12T14:33;телевизор;philips;2202 2063 4223 8235;1;32270
Перекрёсток;59.853622, 30.339284;2024-03-25T19:38;консервы;Bonduelle;5211 9459 5888 4161;6;1092
Гипер Лента;60.031442, 30.435033;2024-08-23T09:35;соусы;Campbell's;5211 9466 1440 7073;4;632
Красное&Белое;59.922168, 30.30781;2024-09-11T14:45;сметана;Рузское;2200 5612 8935 5094;4;204
Яндекс Маркет;59.918613, 30.295814;2024-07-24T09:17;шоколад;Красный Октябрь;2200 7031 1256 4440;3;516
Гипер Лента;59.849754, 30.397983;2024-06-14T12:27;соус;Фрау Марта;5389 9471 6756 7280;6;540
Яндекс Маркет;59.863894, 30.314336;2024-02-01T15:37;туфли;yves saint laurent;2200 5637 2001 4054;3;194067
Пятёрочка;59.939291, 30.201703;2024-01-31T10:25;молоко;Домик в деревне;2200 7080 1161 1030;4;112
Wildberries;59.938618, 30.370023;2024-08-16T09:28;толстовка;american eagle;5112 2368 3728 5664;3;11865
DNS;60.03567, 30.453346;2024-09-22T15:41;проектор;sharp;5228 6053 4151 3434;3;168885
М.Видео;59.92564, 30.319245;2024-02-17T17:21;телевизор;lg;5112 2377 8015 2795;1;31301
Магнит;59.91953, 30.295508;2024-07-14T18:28;суп;Nestle;5112 2340 3071 3339;2;246
М.Видео;59.98599, 30.217905;2024-04-29T11:19;планшет;samsung;5112 2338 8203 3889;6;219120
Мини Лента;59.835748, 30.116541;2024-07-29T08:51;майонез;Heinz;2200 5699 8846 6618;5;935
Перекрёсток;59.945836, 30.215417;2024-07-23T14:13;суп;Бондюэль;2200 5638 6902 3931;1;84
Перекрёсток;59.953537, 30.219914;2024-12-15T14:10;кефир;Простоквашино;4306 4373 7410 2550;2;80
Лента;59.987134, 30.393534;2024-12-04T17:23;бекон;Валми;2200 5691 3265 8723;1;288
Мини Лента;59.979602, 30.377945;2024-07-31T17:38;кефир;Савушкин продукт;2200 5641 1659 3254;4;144
Красное&Белое;59.946557, 30.362861;2024-08-30T15:24;йогурт;Агуша;5112 2361 4599 6338;2;184
Гипер Лента;59.990629, 30.659102;2024-05-24T07:28;сметана;Danone;2200 5645 1503 7649;7;1008
Street Beat;59.868088, 30.350939;2024-07-16T17:42;куртка;the north face;2200 4019 1954 1815;7;169470
Магнит;59.933668, 30.362249;2024-01-16T10:32;шоколад;Ferrero;5211 9467 9952 9423;6;1506
Яндекс Маркет;59.928546, 30.345324;2024-09-15T15:58;джинсы;wrangler;2200 5617 4535 5133;5;25475
Твоё;60.052322, 30.333312;2024-09-05T12:57;свитер;ralph lauren;2200 4070 2916 6710;1;20852
Гипер Лента;59.998618, 30.236281;2024-09-30T19:05;вермишель;Роллтон;2200 5643 1491 9063;5;190
Гипер Лента;60.021476, 30.604864;2024-11-24T20:39;батончики;Марс;2200 5635 5550 2065;7;1463
М.Видео;59.881219, 30.317233;2024-08-11T09:43;плеер;jvc;2200 5658 7008 6316;2;11622
М.Видео;59.92564, 30.319245;2024-05-12T12:53;видеокарта;nvidia;2202 2094 2631 1745;1;54527
Wildberries;59.92507, 30.308235;2024-04-21T16:59;бейсболка;vans;2200 5622 7293 5083;1;1027
Перекрёсток;59.971116, 30.38625;2024-06-05T11:49;творог;Савушкин продукт;2200 5671 8545 3012;4;196
Wildberries;59.952565, 30.254122;2024-06-20T12:25;пальто;zara;2202 2034 9596 6375;3;24441
ВкусВилл;59.901631, 30.512857;2024-10-14T10:28;творог;Президент;2200 5668 2430 9469;7;273
Street Beat;59.820156, 30.317612;2024-11-22T13:33;шапка;moncler;5112 2390 4026 8354;4;60280
Красное&Белое;59.943082, 30.264807;2024-08-20T16:01;овсянка;Нестле;2200 5611 5170 4803;7;371
Ашан;59.894625, 30.513685;2024-09-13T14:28;творог;Almette;2200 5632 7948 6802;4;732
Стокманн;59.891942, 30.511991;2024-05-09T19:09;галстук;givenchy;2200 5668 6611 9291;3;56550
Технопарк Рот Фронт;59.948783, 30.26169;2024-08-04T16:51;смартфон;motorola;2200 5685 6225 6745;3;96696
Перекрёсток;59.919236, 30.464655;2024-02-24T13:49;бекон;Мираторг;2202 2083 9328 2760;1;223
М.Видео;59.826062, 30.316201;2024-08-11T14:44;усилитель;technics;2200 5647 3541 5479;4;65148
Эльдорадо;59.735932, 30.471622;2024-02-10T19:53;наушники;zte;4306 4399 9992 1946;5;13900
Перекрёсток;59.958127, 30.313102;2024-12-01T10:27;овсянка;General Mills;5112 2310 5019 7650;3;408
Яндекс Маркет;59.916968, 30.283297;2024-07-30T17:57;шоколад;Красный Октябрь;2202 2054 1199 9668;7;1141
Wildberries;59.90495, 30.671914;2024-03-28T18:51;костюм;gucci;2200 5629 5239 6466;6;372798
М.Видео;59.826062, 30.316201;2024-04-23T20:29;колонки;jbl;2200 5645 7648 1357;4;63316
Красное&Белое;59.967647, 30.300911;2024-08-27T13:25;квас;Балтика;4986 2974 3020 9721;3;132
Street Beat;59.927063, 30.361072;2024-11-08T15:37;рубашка;uniqlo;4306 4366 3670 6880;6;12822
Эльдорадо;59.818426, 30.317304;2024-08-23T18:28;датчик сердечного ритма;polar;2200 4033 7621 4971;7;33369
DNS;60.052644, 30.311645;2024-07-16T21:00;мышь;hp;2200 5631 1937 8299;1;2221
Finn Flare;59.946738, 30.474828;2024-02-28T18:03;спортивные брюки;under armour;2200 5643 1308 1187;7;18354
DNS;59.903088, 29.768237;2024-08-08T07:48;колонки;sony;4306 4375 3053 4176;5;109540
О'кей;59.912169, 30.47998;2024-10-16T13:48;сметана;Слобода;4306 4374 1839 2563;6;690
Rendez-Vous;59.867149, 30.350016;2024-10-10T08:39;рубашка;american eagle;2200 4065 3539 8441;3;9699
Магнит;59.929855, 30.419752;2024-03-21T10:19;творог обезжиренный;Село Зеленое;2200 4073 6871 7317;3;117
Ситилинк;59.721239, 30.415793;2024-07-12T10:20;клавиатура;acer;4306 4333 5334 4948;3;9966
М.Видео;60.004999, 30.301431;2024-08-12T19:42;монитор;lenovo;5112 2385 1168 8765;6;66534
Wildberries;59.919929, 30.369959;2024-03-17T17:03;куртка;patagonia;2200 5623 7882 2156;3;44916
Перекрёсток;59.955533, 30.409913;2024-06-11T13:30;творог;Агуша;2200 7080 1346 4005;3;363
Яндекс Маркет;59.916947, 30.32797;2024-04-02T15:12;ботинки;timberland;2200 5629 1765 4557;5;56665
Гипер Лента;59.89798, 30.333871;2024-11-13T11:42;майонез;Heinz;5211 9449 2206 3928;5;960
Гипер Лента;60.029599, 30.238926;2024-12-06T17:43;творог;Савушкин продукт;2200 5621 9554 8339;7;329
Пятёрочка;59.91543, 30.308411;2024-08-02T20:31;бекон;Останкинское;2200 5645 6816 8916;5;1080
ВкусВилл;59.852301, 30.266043;2024-12-30T10:34;хлопья;Nestle;2200 4012 7727 9688;2;300
Красное&Белое;59.926878, 30.347785;2024-09-26T11:34;масло;Президент;5112 2358 5623 1842;2;394
ВкусВилл;59.878261, 30.318976;2024-03-26T13:22;конфеты;Nestle;2200 5625 3112 7026;5;1510
Технополис Политехнический;60.006052, 30.379113;2024-11-28T21:12;наушники;sony;2200 5663 6798 8791;2;15002
Ситилинк;59.999234, 30.360068;2024-09-18T16:35;монитор;acer;2200 4024 2092 5109;3;39918
Wildberries;59.935437, 30.373707;2024-10-29T11:09;футболка;tommy hilfiger;2200 5693 2127 9709;6;15396
М.Видео;59.894069, 30.511585;2024-03-14T11:21;утюг;philips;2200 5668 2120 4362;6;23934
Магнит;59.988972, 30.311478;2024-05-22T18:29;кефир;Савушкин продукт;2200 4064 9959 6305;5;175
Мини Лента;59.956293, 30.308267;2024-05-11T15:51;молоко 1.5%;Село Зеленое;2200 5677 4479 4627;1;40
Wildberries;60.006029, 30.249375;2024-07-13T11:07;шорты;adidas;5112 2365 7564 7487;3;5499
Магнит;59.994693, 30.316033;2024-06-11T16:01;шоколад;Ferrero;4039 3335 9820 5105;2;512
Красное&Белое;59.909428, 30.307024;2024-01-06T07:27;специи;Русский продукт;2202 2061 3026 7946;5;460
Перекрёсток;59.945836, 30.215417;2024-01-28T13:40;ряженка;Савушкин продукт;2200 5696 3521 9531;3;117
DNS;59.999035, 30.366192;2024-06-09T13:35;телевизор;toshiba;2200 5644 2935 2365;4;116400
М.Видео;59.977066, 30.317384;2024-04-10T18:05;лампа;philips;4986 2962 1453 2577;5;7600
Яндекс Маркет;59.850902, 30.190578;2024-07-12T08:16;сметана;Чудо;5112 2310 3414 1038;1;41
Пятёрочка;59.933871, 30.36954;2024-02-24T11:43;масло;Савушкин продукт;2200 5635 7211 6544;5;335
Ашан Сити;59.899965, 30.400781;2024-08-08T17:55;кефир;Простоквашино;4306 4361 3233 9757;5;150
Перекрёсток;59.836444, 30.403867;2024-02-12T15:58;лапша;Доширак;2200 4092 8782 4906;1;69
Гипер Лента;59.841239, 30.48442;2024-10-25T10:50;хлопья;Kellogg's;2200 5641 2620 9207;1;217
Ашан;59.894625, 30.513685;2024-06-06T07:59;мясные продукты;Валми;2200 5627 6717 2344;5;1320
Мини Лента;59.863107, 30.190497;2024-02-08T12:19;творог;Чудо;4306 4387 4884 8234;6;264
Эльдорадо;59.94586, 30.480871;2024-01-15T08:18;смартфон;xiaomi;2200 4064 4854 9484;4;88316
Лента;60.072779, 30.344493;2024-10-10T13:52;специи;Махеев;2202 2056 9250 6101;4;400
Магнит;59.92892, 30.301764;2024-12-22T15:55;йогурт;Село Зеленое;2200 5638 8798 3512;5;370
Гипер Лента;60.021476, 30.604864;2024-02-24T18:04;сок;Агуша;5112 2350 3444 3391;1;93
Ситилинк;59.945846, 30.27645;2024-07-22T17:49;колонки;jbl;5112 2353 3414 9123;3;49053
Wildberries;59.947194, 30.27761;2024-05-27T11:48;джинсы;uniqlo;2200 5689 8978 2872;7;17969
Магнит;59.915108, 30.324354;2024-08-06T08:15;шоколад;Макфа;2200 7085 5829 8220;4;308
DNS;59.990509, 30.646148;2024-01-21T10:27;планшет;honor;2202 2063 5994 9147;6;95484
Wildberries;59.921618, 30.286059;2024-07-09T16:07;толстовка;gap;4306 4386 1498 5974;2;5164
Магнит;59.928152, 30.381055;2024-10-10T14:29;приправы;Русский продукт;4306 4346 6490 1351;3;375
Гипер Лента;59.85992, 30.468139;2024-05-12T11:55;шоколад;Чумак;4306 4390 8718 1165;1;103
restore:;59.963536, 30.308129;2024-10-22T15:22;смартфон;samsung;4306 4339 3648 6957;5;132840
Магнит;59.912436, 30.348349;2024-11-27T17:23;соусы;Русский продукт;2200 5693 4201 1512;6;696
О'кей;59.829416, 30.38303;2024-10-25T13:16;хлопья;General Mills;2200 4035 2132 6355;7;1127
Rendez-Vous;59.893118, 30.51616;2024-02-20T17:13;ботинки;merrell;4306 4331 3106 3940;2;15524
ВкусВилл;59.928109, 30.353035;2024-09-04T09:23;конфеты;Ferrero;2200 5697 7626 2528;1;241
Красное&Белое;59.923593, 30.342453;2024-06-22T18:52;мюсли;Kellogg's;2200 5687 1737 3617;3;396
Ситилинк;59.916191, 30.309242;2024-07-11T14:41;холодильник;haier;2200 5698 9491 3231;3;112881
Ситилинк мини;59.956978, 30.310467;2024-07-06T08:06;проигрыватель;technics;5389 9429 2706 9719;7;195146
Магнит;59.999893, 30.207787;2024-11-16T12:25;десерты;Ferrero;2200 5690 4007 6850;5;735
М.Видео;59.926606, 30.361724;2024-02-23T19:12;объектив;leica;2200 5631 1296 5422;7;222502
DNS;59.876775, 30.446537;2024-07-03T10:45;усилитель;bose;2200 5654 5074 6701;7;246351
Finn Flare;59.793288, 30.33353;2024-07-31T17:31;толстовка;gap;2200 4090 3094 3330;6;18084
Яндекс Маркет;59.971303, 30.433835;2024-07-09T09:07;кроссовки;fila;5112 2326 7348 8456;4;18748
Wildberries;59.919929, 30.369959;2024-06-20T14:07;платье;pull&bear;2200 5691 4592 5676;7;19761
Гипер Лента;59.998618, 30.236281;2024-01-08T11:12;лапша;Роллтон;2200 5697 3559 5647;4;292
Магнит;59.92892, 30.301764;2024-09-28T14:32;сметана;Yoplait;5112 2330 5222 5831;2;222
Ситилинк;60.011288, 30.277731;2024-01-14T10:57;наушники;vivo;2200 5648 2973 4448;1;3851
restore:;59.911725, 30.446447;2024-03-05T07:10;наушники;huawei;4306 4346 8810 4242;6;44262
Магнит;59.933668, 30.362249;2024-05-08T11:55;соки;PepsiCo;2200 5673 1625 8431;4;404
Wildberries;59.96387, 30.28021;2024-12-23T09:14;спортивная куртка;champion;2200 5628 4803 1817;2;11390
Ситилинк;59.951173, 30.487587;2024-02-07T17:19;часы;realme;5112 2386 9036 6418;6;38904
Спортмастер;59.875711, 30.447417;2024-04-06T12:53;шапка;canada goose;2200 5640 4730 3764;6;60114
Пятёрочка;59.906939, 30.243936;2024-02-13T18:42;мюсли;Post;4306 4390 3706 2074;2;230
DNS;60.052806, 30.425923;2024-07-17T17:48;планшет;samsung;4039 3349 7928 4091;6;190428
М.Видео;60.091905, 30.380262;2024-12-06T16:22;лампа;sharp;2200 4085 4094 3714;1;988
Гипер Лента;59.89798, 30.333871;2024-04-12T10:14;суп;Heinz;2200 5653 2163 6162;6;378
Красное&Белое;59.962893, 30.306315;2024-03-10T11:14;творог;Чудо;2200 5649 7447 9897;7;1113
Finn Flare;59.849057, 30.144838;2024-12-15T12:11;рюкзак;jack wolfskin;2200 5682 8048 5383;4;34636
М.Видео;60.002106, 30.272001;2024-12-04T13:02;смартфон;huawei;2200 5670 6338 5055;6;356094
Спортмастер;60.008025, 30.393707;2024-02-20T09:44;ремень;dr. martens;5228 6010 7114 9701;3;8478
Wildberries;59.935437, 30.373707;2024-10-11T10:19;свитер;ralph lauren;5112 2318 8053 2948;7;174734
Технопарк Боровая;59.912663, 30.34005;2024-01-10T19:59;смартфон;vivo;2200 5633 4522 1477;3;48330
Гипер Лента;60.031442, 30.435033;2024-05-25T09:09;шоколад;Ferrero;2200 5612 2227 4327;6;1242
Глобус;59.881367, 30.410658;2024-01-06T19:35;шоколад;Nestle;4306 4310 4580 7891;1;210
Яндекс Маркет;59.928546, 30.345324;2024-04-29T09:19;футболка;under armour;5112 2352 4130 8114;3;5205
М.Видео;59.988312, 30.353415;2024-04-16T09:48;телевизор;lg;2200 5676 1984 9335;3;84849
restore:;59.987391, 30.355066;2024-02-06T14:53;монитор;acer;2202 2045 3168 3465;6;74490
М.Видео;59.863295, 30.404724;2024-03-15T18:54;колонки;philips;2200 5635 4702 8348;3;23997
DNS;59.990509, 30.646148;2024-01-23T18:15;планшет;samsung;2200 5661 6594 1510;6;197868
DNS;59.845008, 30.322844;2024-12-22T09:41;наушники;apple;4306 4395 9214 4842;7;59976
Магнит;59.939108, 30.284758;2024-10-23T20:29;ряженка;Danone;2200 5677 6360 8095;2;78
restore:;59.820927, 30.317006;2024-06-07T16:33;часы;honor;2200 5663 5770 4875;4;28268
ВкусВилл;60.080142, 30.344399;2024-11-19T10:11;йогурт;Ehrmann;2200 5683 4848 5203;1;72
Street Beat;60.00455, 30.300799;2024-05-01T12:14;ботинки;the north face;2200 5669 2886 3447;7;112350
Пятёрочка;59.925627, 30.283451;2024-05-16T13:40;творог;Савушкин продукт;2200 5668 8347 5152;7;245
Стокманн;59.931722, 30.359157;2024-10-17T16:36;джемпер;fred perry;4039 3380 1394 3000;5;31550
Wildberries;59.942521, 30.359982;2024-07-01T14:02;спортивные брюки;hummel;4306 4352 8842 5144;7;24885
Яндекс Маркет;59.912851, 30.301256;2024-01-28T13:05;пюре;ФрутоНяня;2200 5681 6420 5607;6;456
Гипер Лента;59.990629, 30.659102;2024-08-01T09:06;молоко;Президент;5389 9416 4766 3303;4;156
Перекрёсток;59.810165, 30.368982;2024-11-26T11:04;масло;Чудо;5112 2331 4377 4949;6;1032
Globus;60.005732, 30.29851;2024-08-18T17:20;молоко;Danone;4306 4349 3818 9524;1;29
Ситилинк;59.928002, 30.3502;2024-12-05T09:50;смартфон;huawei;4306 4326 2953 3478;5;319345
DNS;59.852389, 30.354505;2024-05-17T14:20;материнская плата;nvidia;5112 2322 7004 1024;6;84312
Магнит;59.933668, 30.362249;2024-08-10T11:13;батончики;General Mills;2200 5652 3746 3744;3;471
Rendez-Vous;59.867149, 30.350016;2024-02-14T21:25;ремень;armani;4986 2911 3514 1652;6;68082
Пятёрочка;59.911451, 30.353782;2024-08-15T09:34;ряженка;Чудо;2200 5652 3101 2831;3;99
Эльдорадо;60.047399, 30.364938;2024-09-29T10:36;мышь;logitech;2200 5632 2067 2095;6;18468
Твоё;59.94575, 30.474457;2024-07-24T09:08;спортивные брюки;fila;5112 2398 1439 4811;2;7844
Твоё;59.832568, 30.347109;2024-12-19T08:49;толстовка;dc;2200 5611 7786 9718;2;9994
restore:;59.987391, 30.355066;2024-12-18T15:50;колонки;sony;5211 9435 9482 7374;7;51982
Яндекс Маркет;59.941712, 30.34288;2024-10-22T17:17;макароны;Чумак;2200 7036 1977 3384;5;560
Пятёрочка;59.961332, 30.307346;2024-06-20T12:39;йогурт;Агуша;4306 4358 3967 2300;4;216
Спортмастер;59.849006, 30.145713;2024-05-20T17:45;футболка;balenciaga;2200 5692 5520 5993;3;47277
Супер Лента;60.049161, 30.340722;2024-08-07T18:12;сыр;Activia;5112 2340 3569 7729;1;171
DNS;59.876775, 30.446537;2024-02-23T10:10;проигрыватель;pioneer;2200 5619 2968 2414;3;86214
Пятёрочка;59.888644, 30.327628;2024-04-11T09:01;йогурт;Dannon;2200 5680 1351 8343;7;728
Перекрёсток;59.851407, 30.276874;2024-06-11T16:02;макароны;Верес;2200 5674 3775 9457;4;212
Wildberries;59.911851, 30.350042;2024-05-14T13:09;костюм;burberry;2200 5677 9308 5418;7;46417
Мини Лента;59.956293, 30.308267;2024-10-16T15:02;квас;Балтика;2200 4065 2266 8504;3;159
Перекрёсток;59.975475, 30.408552;2024-08-24T18:29;батончики;Здорово;5112 2367 5669 4676;6;786
Яндекс Маркет;59.873351, 30.261529;2024-06-18T09:13;пальто;uniqlo;2200 5623 8372 9581;6;38880
Яндекс Маркет;59.927544, 30.242198;2024-04-24T11:12;шорты;lacoste;2200 5675 9315 9692;6;13350
ВкусВилл;60.000692, 30.208236;2024-11-26T16:38;сметана;Danone;2200 5647 8246 5186;6;282
Wildberries;59.911689, 30.321351;2024-04-15T10:56;ботинки;salewa;2200 5645 4623 4595;1;7551
PiterGSM;59.932429, 30.36603;2024-11-02T11:23;саундбар;bang & olufsen;2200 5626 3174 2596;3;102681
Перекрёсток;59.949127, 30.233702;2024-10-31T20:04;молоко 3.2%;Агуша;4306 4391 3640 4702;1;53
Азбука Вкуса;59.967178, 30.272869;2024-11-16T17:02;вермишель;Доширак;5112 2348 1448 3661;1;28
Перекрёсток;59.926342, 30.318699;2024-03-03T20:15;творог;Село Зеленое;2200 5622 6379 3664;4;180
Твоё;59.864009, 30.403246;2024-07-08T20:12;спортивная куртка;kappa;2200 5615 8677 1540;7;48762
Красное&Белое;59.946557, 30.362861;2024-10-11T18:35;овсянка;Чумак;2200 5644 2633 7091;2;138
О'кей;59.583552, 30.138811;2024-06-04T13:49;ряженка;ВкусВилл;2202 2060 8839 4116;7;203
Перекрёсток;59.96274, 30.294149;2024-01-21T14:33;йогурт;Parmalat;2200 5631 9276 1498;6;390
Туристическое агентство Глобус;59.895438, 29.091752;2024-05-15T12:45;йогурт;Тёма;2200 5680 5814 4505;6;324
Ситилинк мини;59.956978, 30.310467;2024-12-21T09:29;монитор;hp;4306 4397 4695 6708;3;31047
Стокманн;59.891942, 30.511991;2024-01-24T13:29;спортивные брюки;under armour;5112 2328 6641 4216;6;14520
ВкусВилл;59.853333, 30.330313;2024-08-04T16:40;сметана;Activia;4039 3310 7110 3783;2;284
Магнит;59.983826, 30.348758;2024-07-27T11:40;квас;Очаково;2200 5691 1859 7842;5;285
Лента;60.072779, 30.344493;2024-06-12T18:57;соусы;Махеев;5228 6042 1236 3828;6;696
DNS;60.03567, 30.453346;2024-09-23T12:00;телевизор;philips;4306 4340 4988 4344;6;183228
Ашан Сити;59.990167, 30.25689;2024-11-24T14:31;вода;Coca-Cola;2200 7026 8960 4539;5;300
М.Видео;59.98599, 30.217905;2024-09-30T12:23;наушники беспроводные;huawei;2200 4081 2582 8835;6;70452
Магнит;59.92881, 30.260214;2024-03-06T14:36;конфеты;Рот Фронт;2200 5650 4166 2039;4;736
Эльдорадо;59.941628, 30.276513;2024-02-05T18:31;смартфон;vivo;2200 5614 4631 5717;7;115290
Глобус;59.969676, 30.338688;2024-09-13T11:32;соусы;Махеев;4986 2944 8520 8933;5;495
Спортмастер Pro;60.003644, 30.301632;2024-09-15T08:13;толстовка;vans;2200 5654 1023 3576;7;34559
Красное&Белое;59.906733, 30.244141;2024-09-23T10:48;консервы;Nestle;2200 7033 4138 5994;5;1150
Пятёрочка;59.942676, 30.275239;2024-06-09T11:18;молоко 3.2%;Чудо;4039 3349 5230 1136;5;360
Ситилинк;59.951173, 30.487587;2024-01-22T09:42;телевизор;panasonic;2200 5617 4972 4067;3;92133
ВкусВилл;59.930532, 30.411229;2024-06-20T14:11;батончики;Марс;2200 5627 8876 8376;6;1338
О'кей;60.017172, 30.434582;2024-01-07T20:55;йогурт;Савушкин продукт;2200 5623 3085 6683;4;212
Промышленный Парк;59.908827, 30.74131;2024-09-16T14:37;наушники;bose;4306 4346 1245 3932;7;72800
Яндекс Маркет;59.928597, 30.326117;2024-04-16T11:15;костюм;balmain;4377 7314 1068 1343;4;510200
ВкусВилл;59.901631, 30.512857;2024-02-09T14:11;макароны;Лесной Гурман;5112 2388 7633 5347;4;300
Красное&Белое;59.944106, 30.345675;2024-06-06T08:08;творог;Агуша;2200 5689 4790 3234;1;154
Твоё;59.582113, 30.147388;2024-12-02T20:55;ботинки;patagonia;2200 5676 6124 4812;2;29684
Магнит;59.893604, 30.413312;2024-09-28T13:24;приправы;Knorr;2200 5671 4000 5714;1;129
DNS;59.827715, 30.317253;2024-03-22T16:55;монитор;hp;2200 5685 5754 9927;3;35013
Перекрёсток;59.935887, 30.315693;2024-10-19T19:58;масло;Савушкин продукт;2200 4086 1588 6382;6;378
Лента;60.072779, 30.344493;2024-07-10T17:43;кефир;Простоквашино;4306 4357 5295 5741;2;222
Эльдорадо;59.87033, 30.379202;2024-08-20T18:19;материнская плата;nvidia;2200 7093 3609 2205;6;80118
Технопарк Новикова;60.027195, 30.273621;2024-03-07T11:10;гарнитура;corsair;2200 5618 5124 8205;3;20442
Wildberries;59.95767, 30.353531;2024-02-18T13:44;футболка;patagonia;5389 9428 8366 2445;5;10225
Wildberries;59.936152, 30.380481;2024-03-12T20:10;костюм;gucci;2200 4036 5886 8739;5;303890
Яндекс Маркет;59.935926, 30.267179;2024-06-15T20:32;куртка;calvin klein;4306 4314 8851 4305;6;42972
Пятёрочка;59.923644, 30.348069;2024-08-30T16:42;соус;Бондюэль;2200 7018 7524 3960;5;600
Яндекс Маркет;59.973615, 30.305852;2024-07-06T12:05;футболка;under armour;2200 5688 7226 2188;4;6072
Эльдорадо;59.8319, 30.347168;2024-01-14T15:18;адаптер;tp-link;2200 5640 6923 6154;3;5010
Street Beat;59.849421, 30.143941;2024-12-28T21:24;ботинки;timberland;5112 2327 8708 9948;6;61908
ВкусВилл;59.911511, 30.317943;2024-07-15T11:19;суп;Bonduelle;2200 7047 7142 8895;2;288
Яндекс Маркет;59.937145, 30.277776;2024-01-18T09:43;батончики;Kellogg's;2200 5630 2186 4602;7;861
